timestamp_utc,gateway,unit,device_uid,volt_v,current_a,power_kw,freq_hz,pf,kwh_import,ok,error
2026-02-01T14:56:16Z,192.168.1.102:502,16,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,17,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,18,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,19,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,20,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,21,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,22,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,23,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,24,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,25,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,26,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,27,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,28,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,29,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,30,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,31,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:16Z,192.168.1.102:502,32,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,1,000032203451,230.430,0.000,0.000,50.000,0.000,0.00,True,
2026-02-01T14:56:43Z,192.168.1.103:502,2,000032203444,231.720,0.000,0.000,49.900,0.000,0.00,True,
2026-02-01T14:56:43Z,192.168.1.103:502,3,000032203445,230.810,0.000,0.000,50.000,0.000,0.00,True,
2026-02-01T14:56:43Z,192.168.1.103:502,4,000032203452,231.700,0.000,0.000,50.000,0.000,0.00,True,
2026-02-01T14:56:43Z,192.168.1.103:502,5,000032203420,230.660,0.000,0.000,50.000,0.000,0.00,True,
2026-02-01T14:56:43Z,192.168.1.103:502,6,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,7,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,8,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,9,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,10,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,11,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,12,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,13,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,14,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,15,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,16,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,17,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,18,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,19,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,20,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,21,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,22,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,23,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,24,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,25,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,26,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,27,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,28,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,29,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,30,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,31,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:56:43Z,192.168.1.103:502,32,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,1,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,2,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,3,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,4,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,5,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,6,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,7,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,8,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,9,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,10,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,11,,,,,,,,False,exception fc=0x83 code=0x0B
2026-02-01T14:57:15Z,192.168.1.104:502,12,,,,,,,,False,exception fc=0x83 code=0x0B
