timestamp_utc,gateway,unit,device_uid,volt_v,current_a,power_kw,freq_hz,pf,kwh_import,ok,error
2025-12-30T11:04:23Z,192.168.1.101:502,0,,,,,,,,False,timed out
2025-12-30T11:04:25Z,192.168.1.102:502,0,,,,,,,,False,timed out
2025-12-30T11:04:27Z,192.168.1.103:502,0,,,,,,,,False,timed out
2025-12-30T11:04:29Z,192.168.1.104:502,0,,,,,,,,False,timed out
2025-12-30T11:15:00Z,192.168.1.101:502,0,,,,,,,,False,timed out
2025-12-30T11:15:02Z,192.168.1.102:502,0,,,,,,,,False,timed out
2025-12-30T11:15:04Z,192.168.1.103:502,0,,,,,,,,False,timed out
2025-12-30T11:15:06Z,192.168.1.104:502,0,,,,,,,,False,timed out
2025-12-30T11:30:00Z,192.168.1.101:502,0,,,,,,,,False,timed out
2025-12-30T11:30:02Z,192.168.1.102:502,0,,,,,,,,False,timed out
2025-12-30T11:30:04Z,192.168.1.103:502,0,,,,,,,,False,timed out
2025-12-30T11:30:06Z,192.168.1.104:502,0,,,,,,,,False,timed out
2025-12-30T11:45:00Z,192.168.1.101:502,0,,,,,,,,False,timed out
2025-12-30T11:45:02Z,192.168.1.102:502,0,,,,,,,,False,timed out
2025-12-30T11:45:04Z,192.168.1.103:502,0,,,,,,,,False,timed out
2025-12-30T11:45:06Z,192.168.1.104:502,0,,,,,,,,False,timed out
2025-12-30T12:00:00Z,192.168.1.101:502,0,,,,,,,,False,timed out
2025-12-30T12:00:02Z,192.168.1.102:502,0,,,,,,,,False,timed out
2025-12-30T12:00:04Z,192.168.1.103:502,0,,,,,,,,False,timed out
2025-12-30T12:00:06Z,192.168.1.104:502,0,,,,,,,,False,timed out
2025-12-30T12:15:00Z,192.168.1.101:502,0,,,,,,,,False,timed out
2025-12-30T12:15:02Z,192.168.1.102:502,0,,,,,,,,False,timed out
2025-12-30T12:15:04Z,192.168.1.103:502,0,,,,,,,,False,timed out
2025-12-30T12:15:06Z,192.168.1.104:502,0,,,,,,,,False,timed out
2025-12-30T12:30:00Z,192.168.1.101:502,0,,,,,,,,False,timed out
2025-12-30T12:30:02Z,192.168.1.102:502,0,,,,,,,,False,timed out
2025-12-30T12:30:04Z,192.168.1.103:502,0,,,,,,,,False,timed out
2025-12-30T12:30:06Z,192.168.1.104:502,0,,,,,,,,False,timed out
2025-12-30T12:45:00Z,192.168.1.101:502,0,,,,,,,,False,timed out
2025-12-30T12:45:02Z,192.168.1.102:502,0,,,,,,,,False,timed out
2025-12-30T12:45:04Z,192.168.1.103:502,0,,,,,,,,False,timed out
2025-12-30T12:45:06Z,192.168.1.104:502,0,,,,,,,,False,timed out
2025-12-30T13:00:00Z,192.168.1.101:502,0,,,,,,,,False,timed out
